2010-12-28 01:30:01 Notice: Notice (8): Undefined property: GroupsController::$modelName in [/Users/finngrimwood/Sites/MB/cake/libs/controller/app_controller.php, line 50]
2010-12-28 01:31:36 Notice: Notice (8): Undefined property: GroupsController::$ModelName in [/Users/finngrimwood/Sites/MB/cake/libs/controller/app_controller.php, line 50]
2010-12-28 01:31:37 Notice: Notice (8): Undefined property: GroupsController::$ModelName in [/Users/finngrimwood/Sites/MB/cake/libs/controller/app_controller.php, line 50]
2010-12-28 01:31:38 Notice: Notice (8): Undefined property: GroupsController::$ModelName in [/Users/finngrimwood/Sites/MB/cake/libs/controller/app_controller.php, line 50]
2010-12-28 01:35:38 Notice: Notice (8): Undefined variable: userData in [/Users/finngrimwood/Sites/MB/cake/libs/controller/app_controller.php, line 50]
2010-12-28 01:36:06 Notice: Notice (8): Undefined index: ip_address in [/Users/finngrimwood/Sites/MB/app/models/behaviors/loggable.php, line 14]
2010-12-28 01:36:06 Notice: Notice (8): Undefined index: user_agent in [/Users/finngrimwood/Sites/MB/app/models/behaviors/loggable.php, line 15]
2010-12-28 01:37:25 Notice: Notice (8): Undefined index: ip_address in [/Users/finngrimwood/Sites/MB/app/models/behaviors/loggable.php, line 14]
2010-12-28 01:37:25 Notice: Notice (8): Undefined index: user_agent in [/Users/finngrimwood/Sites/MB/app/models/behaviors/loggable.php, line 15]
2010-12-28 01:41:27 Notice: Notice (8): Undefined index: ip_address in [/Users/finngrimwood/Sites/MB/app/models/behaviors/loggable.php, line 14]
2010-12-28 01:41:27 Notice: Notice (8): Undefined index: user_agent in [/Users/finngrimwood/Sites/MB/app/models/behaviors/loggable.php, line 15]
2010-12-28 01:41:39 Notice: Notice (8): Undefined index: ip_address in [/Users/finngrimwood/Sites/MB/app/models/behaviors/loggable.php, line 14]
2010-12-28 01:41:39 Notice: Notice (8): Undefined index: user_agent in [/Users/finngrimwood/Sites/MB/app/models/behaviors/loggable.php, line 15]
2010-12-28 01:42:14 Notice: Notice (8): Undefined index: ip_address in [/Users/finngrimwood/Sites/MB/app/models/behaviors/loggable.php, line 14]
2010-12-28 01:42:14 Notice: Notice (8): Undefined index: user_agent in [/Users/finngrimwood/Sites/MB/app/models/behaviors/loggable.php, line 15]
2010-12-28 01:42:53 Notice: Notice (8): Undefined index: ip_address in [/Users/finngrimwood/Sites/MB/app/models/behaviors/loggable.php, line 14]
2010-12-28 01:42:53 Notice: Notice (8): Undefined index: user_agent in [/Users/finngrimwood/Sites/MB/app/models/behaviors/loggable.php, line 15]
2010-12-28 01:54:29 Notice: Notice (8): Undefined property: Permission::$enabled in [/Users/finngrimwood/Sites/MB/cake/libs/controller/component.php, line 142]
2010-12-28 01:56:00 Notice: Notice (8): Undefined property: Permission::$enabled in [/Users/finngrimwood/Sites/MB/cake/libs/controller/component.php, line 142]
2010-12-28 01:57:02 Notice: Notice (8): Undefined property: Permission::$enabled in [/Users/finngrimwood/Sites/MB/cake/libs/controller/component.php, line 142]
2010-12-28 02:41:55 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 69]
2010-12-28 02:41:55 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 70]
2010-12-28 02:41:55 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 71]
2010-12-28 02:41:55 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 72]
2010-12-28 02:41:55 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 73]
2010-12-28 02:41:55 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 74]
2010-12-28 02:41:55 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 76]
2010-12-28 02:41:55 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 77]
2010-12-28 02:41:55 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 78]
2010-12-28 02:42:01 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 69]
2010-12-28 02:42:01 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 70]
2010-12-28 02:42:01 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 71]
2010-12-28 02:42:01 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 72]
2010-12-28 02:42:01 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 73]
2010-12-28 02:42:01 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 74]
2010-12-28 02:42:01 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 76]
2010-12-28 02:42:01 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 77]
2010-12-28 02:42:01 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 78]
2010-12-28 02:56:36 Notice: Notice (8): Undefined variable: controller in [/Users/finngrimwood/Sites/MB/app/controllers/components/permissions.php, line 16]
2010-12-28 02:56:36 Notice: Notice (8): Trying to get property of non-object in [/Users/finngrimwood/Sites/MB/app/controllers/components/permissions.php, line 16]
2010-12-28 03:01:41 Notice: Notice (8): Undefined variable: parent in [/Users/finngrimwood/Sites/MB/app/controllers/logs_controller.php, line 7]
2010-12-28 03:15:29 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 69]
2010-12-28 03:15:29 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 70]
2010-12-28 03:15:29 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 71]
2010-12-28 03:15:29 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 72]
2010-12-28 03:15:29 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 73]
2010-12-28 03:15:29 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 74]
2010-12-28 03:15:29 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 76]
2010-12-28 03:15:29 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 77]
2010-12-28 03:15:29 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 78]
2010-12-28 03:17:21 Notice: Notice (8): Undefined property: Link::$permissions in [/Users/finngrimwood/Sites/MB/app/controllers/links_controller.php, line 31]
